source_row_id,company_name,website,linkedin_url,location,primary_industry,company_size,company_type,solar_developer_flag,keyword_flag,utility_check,residential_mention,business_model_fit_score,community_solar_score,lmi_alignment_score,capital_need_score,stage_scale_score,geographic_score,strategic_alignment_score,total_score,priority_tier,confidence_level,needs_review,priority_reason,evidence_notes,suggested_linkedin_angle,suggested_target_titles
238,GS Power Partners,gspowerpartners.com,https://www.linkedin.com/company/gs-power-partners,"New York, NY",Solar Electric Power Generation,51-200 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,23,14,0,7,6,4,6,60,A,medium,True,community solar developer; strong developer profile; meaningful scale,"[biz] developer industry, strong developer language, commercial/DG signals | [comm] explicit community solar | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description, smaller company (51-200) | [geo] high-opportunity state (NY) | [strat] community/LMI focus implies mission alignment",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
110,Climate Access Fund,climateaccessfund.org,https://www.linkedin.com/company/climate-access-fund,"Baltimore, MD",Solar Electric Power Generation,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,15,18,3,4,0,4,9,53,A,medium,True,community solar developer; strong developer profile; mission alignment,"[biz] developer industry, some developer language | [comm] explicit community solar (multiple mentions) | [lmi] mission/affordability language (no explicit LMI) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] high-opportunity state (MD) | [strat] mission alignment (2 signals), nonprofit org type",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
611,The Climate Access Fund,climateaccessfund.org,https://www.linkedin.com/company/the-climate-access-fund,"Baltimore, MD",Solar Electric Power Generation,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,15,18,3,4,0,4,9,53,A,medium,True,community solar developer; strong developer profile; mission alignment,"[biz] developer industry, some developer language | [comm] explicit community solar (multiple mentions) | [lmi] mission/affordability language (no explicit LMI) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] high-opportunity state (MD) | [strat] mission alignment (2 signals), nonprofit org type",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
375,Olympia Community Solar,olysol.org,https://www.linkedin.com/company/olysol,"Olympia, Washington",Solar Electric Power Generation,2-10 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,20,18,0,4,0,2,8,52,A,medium,True,community solar developer; strong developer profile; mission alignment,"[biz] developer industry, strong developer language | [comm] explicit community solar (multiple mentions) | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Olympia, Washington) - moderate relevance | [strat] community/LMI focus implies mission alignment, nonprofit org type",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
66,BlueHub Capital,bluehubcapital.org,https://www.linkedin.com/company/bluehubcapital,"Boston, Massachusetts",Non-profit Organizations,11-50 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,18,6,6,9,2,2,7,50,A,high,False,financing relevance; strong developer profile; mission alignment,"[biz] strong developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [lmi] LMI/equity language (1 signal) | [cap] financing language mentioned | [scale] developer implies some repeatability | [geo] US location (Boston, Massachusetts) - moderate relevance | [strat] some mission language, nonprofit org type",Open with project finance or capital stack conversation; reference growth pipeline,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
276,IPPsolar,ippsolar.com,https://www.linkedin.com/company/ippsolar,"NEW YORK, NY",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,14,6,4,2,4,6,49,B,medium,False,community solar developer; developer signals present,"[biz] some developer language, commercial/DG signals | [comm] explicit community solar | [lmi] LMI/equity language (1 signal) | [cap] developer language implies some financing need | [scale] developer implies some repeatability | [geo] high-opportunity state (NY) | [strat] community/LMI focus implies mission alignment",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
637,Valta Energy,valtaenergy.com,https://www.linkedin.com/company/valtaenergy,"Dana Point, California",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,13,14,0,7,5,2,6,47,B,medium,False,community solar developer; developer signals present,"[biz] some developer language, commercial/DG signals | [comm] explicit community solar | [cap] developer at scale implies financing needs | [scale] scale/repeat signals in description | [geo] US location (Dana Point, California) - moderate relevance | [strat] community/LMI focus implies mission alignment",Reference community solar portfolio; discuss subscriber model or shared access programs,Director of Community Solar; VP of Development; CEO; Director of Programs
118,Cooperative Energy Futures,cooperativeenergyfutures.com,https://www.linkedin.com/company/cooperative-energy-futures,"Minneapolis, Minnesota",Solar Electric Power Generation,11-50 employees,Partnership,TRUE,TRUE,FALSE,TRUE,15,14,3,4,2,2,5,45,B,medium,False,community solar developer; strong developer profile,"[biz] developer industry, some developer language | [comm] explicit community solar | [lmi] mission/affordability language (no explicit LMI) | [cap] developer language implies some financing need | [scale] developer implies some repeatability | [geo] US location (Minneapolis, Minnesota) - moderate relevance | [strat] some mission language",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
104,City First Enterprises (CFE),cfenterprises.org,https://www.linkedin.com/company/city-first-enterprises,"Washington, DC",Financial Services,11-50 employees,Non Profit,TRUE,TRUE,FALSE,TRUE,13,6,6,4,2,4,9,44,B,medium,True,developer signals present; mission alignment,"[biz] some developer language, commercial/DG signals | [comm] commercial DG developer (adjacent community relevance) | [lmi] LMI/equity language (1 signal) | [cap] developer language implies some financing need | [scale] developer implies some repeatability | [geo] high-opportunity state (DC) | [strat] mission alignment (2 signals), nonprofit org type",Explore commercial solar project pipeline; ask about financing needs for growth,VP of Development; CEO; Director of Business Development; CFO
170,Entero Energy LLC,enteroenergy.com,https://www.linkedin.com/company/entero-energy-llc,"Austin, Texas",Solar Electric Power Generation,2-10 employees,Privately Held,TRUE,TRUE,FALSE,TRUE,18,14,0,4,0,2,6,44,B,low,True,community solar developer; strong developer profile,"[biz] developer industry, some developer language, commercial/DG signals | [comm] explicit community solar | [cap] developer language implies some financing need | [scale] developer implies some repeatability, very small scale penalty | [geo] US location (Austin, Texas) - moderate relevance | [strat] community/LMI focus implies mission alignment",Reference community solar portfolio; discuss subscriber model or shared access programs,VP of Development; Director of Project Finance; CEO; CFO; Head of Capital Markets
